Code site;Adresse;Arrondissement;Opérateur;Type;Mise en service;Mise en service 4G;Mise en service 5G - 3500;Mise en service 5G - 700;se_anno_cad_data;geo_shape;geo_point_2d
751122;54 Avenue de versailles;75016;SFR;2G/3G/4G;;;;;;"{""coordinates"": [2.2742594993290948, 48.84820200034169], ""type"": ""Point""}";48.84820200034169, 2.2742594993290948
T10504;54 Avenue victor hugo;75116;BOUYGUES;;31/05/1996;;;;;"{""coordinates"": [2.2877595002727915, 48.87082799996106], ""type"": ""Point""}";48.87082799996106, 2.2877595002727915
00000065U7;55 Rue du montparnasse;75014;ORANGE;3G/4G/5G;03/02/2012;10/04/2013;16/04/2021;;;"{""coordinates"": [2.325681000314708, 48.84209099998281], ""type"": ""Point""}";48.84209099998281, 2.325681000314708
75113_011_04;57 Rue clisson;75013;FREE MOBILE;3G/4G/5G;26/06/2012;11/03/2014;26/04/2023;;;"{""coordinates"": [2.366149500209949, 48.83060700028692], ""type"": ""Point""}";48.83060700028692, 2.366149500209949
75111_010_03;57 Rue de montreuil;75011;FREE MOBILE;3G/4G/5G;10/12/2014;10/12/2014;10/03/2022;;;"{""coordinates"": [2.3895297705321394, 48.85058011014804], ""type"": ""Point""}";48.85058011014804, 2.3895297705321394
T15704;57 Rue de montreuil;75011;BOUYGUES;;10/11/1999;;;;;"{""coordinates"": [2.3894819998942816, 48.85055999970124], ""type"": ""Point""}";48.85055999970124, 2.3894819998942816
75117_070_01;58-60 Avenue de la grande armée;75017;FREE MOBILE;3G/4G/5G;27/11/2019;27/11/2019;;;;"{""coordinates"": [2.286544500572562, 48.87683999978102], ""type"": ""Point""}";48.87683999978102, 2.286544500572562
T10599;6 Boulevard voltaire;75011;BOUYGUES;;31/05/1996;;;;;"{""coordinates"": [2.3657448161653907, 48.866157584739405], ""type"": ""Point""}";48.866157584739405, 2.3657448161653907
750028;60 Boulevard lannes;75116;SFR;2G/3G/4G;;;;;;"{""coordinates"": [2.269811737902013, 48.86478215755601], ""type"": ""Point""}";48.86478215755601, 2.269811737902013
757507;61 Avenue de clichy;75017;SFR;2G/3G/4G/5G;10/05/2022;;;;;"{""coordinates"": [2.32522649958746, 48.88753199964567], ""type"": ""Point""}";48.88753199964567, 2.32522649958746
00006602U3;61 Rue du chardon lagache;75016;ORANGE;3G/4G/5G;12/09/2012;26/11/2015;30/06/2023;;;"{""coordinates"": [2.2645529998196774, 48.842369999780196], ""type"": ""Point""}";48.842369999780196, 2.2645529998196774
T10681;62-86 allée de bercy;75012;BOUYGUES;;23/03/2001;;;;;"{""coordinates"": [2.374695000611224, 48.843359999662084], ""type"": ""Point""}";48.843359999662084, 2.374695000611224
750875;64 Boulevard de magenta;75010;SFR;2G/3G/4G/5G;25/10/2021;;;;;"{""coordinates"": [2.3582727797919576, 48.87417812241582], ""type"": ""Point""}";48.87417812241582, 2.3582727797919576
75104_033_03;66 Boulevard de sébastopol;75004;FREE MOBILE;3G/4G/5G;13/06/2018;12/06/2018;13/10/2022;;;"{""coordinates"": [2.3515155006244473, 48.86400599982073], ""type"": ""Point""}";48.86400599982073, 2.3515155006244473
75111_016_22;67-69 avenue parmentier;75011;FREE MOBILE;3G/4G/5G;24/04/2019;01/03/2019;;;;"{""coordinates"": [2.375208000028883, 48.8641230002001], ""type"": ""Point""}";48.8641230002001, 2.375208000028883
T10653;68 Rue lafayette;75009;BOUYGUES;;04/02/2000;;;;;"{""coordinates"": [2.344027499780003, 48.87579600036361], ""type"": ""Point""}";48.87579600036361, 2.344027499780003
00000097U8;69-71 Avenue michel bizot;75012;ORANGE;3G/4G/5G;07/10/2011;12/07/2013;23/12/2020;;;"{""coordinates"": [2.4026985000181127, 48.836205000161584], ""type"": ""Point""}";48.836205000161584, 2.4026985000181127
75113_016_01;7 Avenue porte de choisy;75013;FREE MOBILE;3G/4G/5G;26/10/2011;13/12/2013;29/08/2022;;;"{""coordinates"": [2.3660369996764627, 48.81806100007666], ""type"": ""Point""}";48.81806100007666, 2.3660369996764627
75113_067_07;7 Avenue de la porte d ivry;75113;FREE MOBILE;3G/4G/5G;28/10/2022;28/10/2022;04/11/2022;;;"{""coordinates"": [2.372256000257784, 48.81979800036137], ""type"": ""Point""}";48.81979800036137, 2.372256000257784
T96638;7 Rue de paradis;75010;BOUYGUES;;08/02/2023;;;;;"{""coordinates"": [2.3544900003799656, 48.87448199959706], ""type"": ""Point""}";48.87448199959706, 2.3544900003799656
00000053U8;7 Rue robert houdin;75011;ORANGE;3G/4G/5G;24/04/2012;20/02/2014;08/02/2024;;;"{""coordinates"": [2.375631000563742, 48.87051299988323], ""type"": ""Point""}";48.87051299988323, 2.375631000563742
00000068U8;8 Boulevard menilmontant;75020;ORANGE;3G/4G/5G;30/05/2011;12/11/2015;27/10/2022;;;"{""coordinates"": [2.3897609998366685, 48.858713999664026], ""type"": ""Point""}";48.858713999664026, 2.3897609998366685
756128;80 Avenue du belvédère;75019;SFR;2G/3G/4G/5G;19/03/2021;;;;;"{""coordinates"": [2.407198500102053, 48.88066499989244], ""type"": ""Point""}";48.88066499989244, 2.407198500102053
T15705;82 Boulevard ornano;75018;BOUYGUES;;01/10/2013;;;;;"{""coordinates"": [2.3450490006663554, 48.89743200023546], ""type"": ""Point""}";48.89743200023546, 2.3450490006663554
T44425;9 Rue de st mande;75012;BOUYGUES;;30/09/2021;;;;;"{""coordinates"": [2.396893500186418, 48.84561900017875], ""type"": ""Point""}";48.84561900017875, 2.396893500186418
75114_006_16;9 Rue ernest cresson;75014;FREE MOBILE;3G/4G/5G;01/08/2017;01/08/2017;02/05/2024;;;"{""coordinates"": [2.3293079997156765, 48.832568999617266], ""type"": ""Point""}";48.832568999617266, 2.3293079997156765
75118_020_03;91-103 Boulevard ney;75018;FREE MOBILE;3G/4G/5G;08/01/2014;23/12/2013;13/10/2022;;;"{""coordinates"": [2.3367284995404676, 48.8976030001017], ""type"": ""Point""}";48.8976030001017, 2.3367284995404676
